id,book_title,genre
140a3d7e-a417-4c2b-96fe-32f9a2732693,Tarzan's Magic Fountain,Action|Adventure|Fantasy|Romance
b4eb8f48-2bbb-46bf-b836-017f9372c463,Possession,Drama|Horror|Mystery|Romance|Thriller
ac6644b2-9da8-439d-8d43-b27418acbc1e,"Best of Everything, The",Drama|Romance
273ddc90-fff0-4e29-a75c-39cb09cfff8e,Vamps,Comedy|Horror|Romance
ca2c0609-3e1d-4bac-a79c-d1ee0f9e7555,"Day of the Beast, The (Día de la Bestia, El)",Adventure|Comedy|Thriller
d2678f78-1cdc-4113-b335-e6bbf8a95449,"Turkish Dance, Ella Lola",(no genres listed)
e874c101-7ecb-4d13-a363-0a7f06d4313f,Lust for Love,Comedy|Romance
2aaf3991-b161-480d-85a0-56663e34e51a,"Fitzgerald Family Christmas, The",Drama
6e91dd83-91de-40d7-b755-e100da72f8db,Hellraiser: Deader,Horror
615ff2df-d4fc-4818-8a7c-034b853128a6,Sink the Bismark!,Action|Drama|War
5f7b55c1-58c7-4e99-82d4-030a62c8de0c,Gunless,Action|Comedy|Drama|Western
c11b25bb-711f-4537-b5d4-cea7b046f42b,State Fair,Comedy|Drama|Romance
916c8516-4c29-4146-b295-e02380a4e44f,Duck Soup,Comedy|Musical|War
f23dfac0-7780-4ff6-b159-3881916d6954,Swing,Comedy|Drama|Musical
16faecce-20ae-4384-850a-50787fe4a84a,"Foul King, The (Banchikwang)",Comedy
3e73bbba-f36e-4ede-beff-74fefcf178d7,New Scenes from America,Documentary
083a21b4-4214-479d-8388-1737e56583a9,"Time to Live, a Time to Die, A (Tong nien wang shi)",Drama
e578b06e-66e9-413a-b0e2-d387d00c907d,"Blacksmith, The",Comedy
10013066-8fae-4b91-9486-999aac5e84b7,Buried Alive,Film-Noir|Horror|Thriller
352ed6ef-8397-48cf-8b8e-434e23eddef8,Grande école,Drama
ddcf3a39-a3b5-4596-a5a8-cafcfda3843c,Relentless,Thriller
2dbf98ab-502e-44a7-8244-d04ff67638a8,"Stars Look Down, The",Drama
c3d57ba5-be85-4651-83e0-6512bf40f260,"Lady in Red, The",Action
2941b9c1-ff84-4239-aea2-9936014ddac4,Adios Carmen,Drama
4eac9c61-0760-4df2-9aea-5fe5a3e5488f,Garage Days,Comedy|Musical
0aac5842-f2cc-4cc2-96f3-d9ad121b108d,Thumbsucker,Comedy|Drama
f8ab6377-4db8-4356-92d5-6ad22196b07e,Blind Pig Who Wants to Fly (Babi buta yang ingin terbang),Drama
7fa0a414-6518-4d6a-a994-0e9289d5409d,Meet the Fockers,Comedy
58196665-6bb7-40d2-9780-b39fa4b0657f,Friday the 13th Part VI: Jason Lives,Horror
3da0e299-9916-48cf-bb57-de283ca97337,Superheroes,Action|Comedy|Documentary|Drama
0b948f82-e08b-4681-8d57-5855555563a1,Transit,Crime|Drama|Thriller
c831b54e-1521-43bf-868b-07679dea3efb,We'll Never Have Paris,Comedy|Romance
26465b6c-5114-4e2f-b23c-5c16c8d2acb0,"Man Who Left His Will on Film, The (Tôkyô sensô sengo hiwa)",Drama
e02b9740-925f-4323-9cbe-520525a2fb5b,Room for One More,Comedy
b42f7202-86c9-4800-85b7-b98f8905e25e,Africa addio,Documentary
1c36e1c5-d659-4e38-bd89-dd58697c1121,"Love Movie, The (Rakkauselokuva)",Comedy|Drama
e2ec523e-bdb4-4a6b-8b45-4b1d5191eb7f,Love Is a Woman (Death Is a Woman),Crime|Drama|Mystery
20f07fe1-d8bb-4608-8b6a-7a6db82148ba,Battle Beyond the Stars,Sci-Fi
944bb69d-4d26-4f1f-8449-ba14527aeb60,Sam's Song,Drama
ccc49120-e7db-4807-a105-dd947c9faad8,Beautiful,Comedy|Drama
01ab87dd-86bb-4aa1-b8ac-aafb31b1b09f,Harry Potter and the Deathly Hallows: Part 1,Action|Adventure|Fantasy|IMAX
0da49357-6374-4e78-9537-e8a9afb8270d,"Stranger, The (Straniero, Lo)",Drama
9aec6c90-05e3-43b3-9a26-a98516140f8a,Topper Returns,Comedy|Fantasy|Mystery|Romance
ebb58800-5e48-4666-88e2-2c60dd11233a,Dr. Gillespie's New Assistant,Comedy|Drama|Mystery
1da6be09-94df-4f65-bf0b-c98aae022c44,"Lay of the Land, The",Comedy|Drama
ff2dea5d-1406-48c7-9143-fe5a4c1a9123,Yumeji,Drama|Fantasy
4cc30652-cad1-4fb3-824c-34f89eab86db,Easier with Practice,Drama|Romance
6d724ab7-57c2-4677-bbd0-486b6fe09b78,Boogeyman,Drama|Horror|Mystery|Thriller
be2f7df6-9da1-49f6-aaac-159d22e34e57,"Wreck of the Mary Deare, The",Drama|Thriller
d15edf05-1952-4b11-84ed-0664fdd7942f,Veronica Guerin,Crime|Drama|Thriller
4eba4be5-f33c-491c-8a8b-8af659b3ff85,Glitter,Drama|Musical|Romance
41b9262f-1d2c-4bec-ab28-9b321da430ce,Teddy Bears' Picnic,Comedy
b3622be6-22e2-41f5-9012-e61e0abb9460,"Decoy Bride, The",Comedy|Romance
d9cc2057-3805-4221-b1a6-176090aceb92,Echoes of the Rainbow (Sui yuet san tau),Comedy|Drama|Romance
52dd0c42-44ab-4461-8e39-9807778a490c,Jean-Luc Cinema Godard,Documentary
3ec16369-ad1c-48fb-a9d6-20784ae2cd6e,Jacky in the Kingdom of Women,Comedy
c1d4cbd7-5ffa-46cc-90e8-6e3dec704523,The Dark Horse,Comedy
b6fa1236-489b-4466-baf0-70742ffa9273,Benny & Joon,Comedy|Romance
55780849-ad56-4cb6-8c9f-9cb4ef4e889c,Kaksi kotia (Dagmamman),Drama
25284205-3a85-4351-8c00-20b01343c0e3,Gridlock'd,Crime
3f5961e8-1ac7-4d4c-a611-562e8e55777b,"Flat, The",Documentary
e4f49d86-67a3-47d7-be51-3656ff471723,Black Roses ,Horror|Musical
3d7e2009-2efb-43bd-8839-72a6d35dbd8b,Birdy,Drama|War
5fe299db-cb1d-4bda-9e61-7c806ecbc7a6,Macbeth,Drama
832d0c72-3025-4104-9c13-e7fa61360079,Subspecies,Horror
1e1ca525-8f4c-4a92-aeae-558f8f49aedd,Breathing Room,Horror|Mystery|Thriller
d73e5c8d-1d8f-44b6-921c-75b945c7a671,Spencer's Mountain,Comedy|Drama
08aa7f17-53d4-466c-a39a-cadab18fed22,Apollo 13,Adventure|Drama|IMAX
c23a4c6a-6dc8-441b-9768-75ad0516bd64,Dead Ahead: The Exxon Valdez Disaster,Drama
0099403c-02de-4347-ac20-f169dd157454,"Troll in Central Park, A",Animation|Children
bde756a8-80ca-4a99-adea-830b59f8f204,Cyrus,Comedy|Drama|Romance
67edc628-12e6-4b79-b2fb-add72516aa15,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend)",Action|Adventure|Crime|Drama|Mystery|Thriller
f7ff0c9d-cafe-4238-9807-ae83448a5902,Goodbye Charlie,Comedy|Fantasy|Romance
844ab63a-237d-405c-bc7f-86b22b9ee319,"Average Little Man, An (Un borghese piccolo piccolo)",Drama
781393aa-b19d-48e8-a1ab-437b37a4130e,Hitler: A Film from Germany (Hitler - ein Film aus Deutschland),Drama|War
500afbe4-41b3-48c5-9609-0751488c6c3c,Caótica Ana,Comedy|Drama|Mystery|Romance
e27473d7-85e6-4306-b59f-c66b5db6c164,"Oh, Woe Is Me (Hélas pour moi)",Comedy|Drama
091b0e0b-c004-43bb-9ed2-cee7287f9382,All Night Long,Comedy|Drama
fc32f3ff-9f21-4807-8ea3-16bc104e947c,I Am Love (Io sono l'amore),Drama|Romance
873ccc6d-3e52-4c3a-aa8a-c44a829d85df,Freddy Got Fingered,Comedy
816ee778-3578-4125-a40f-86b4171798ae,"Bride Came C.O.D., The",Comedy|Romance
36495f91-f679-4c61-8c5d-681fa69e191a,Afternoon Delight,Comedy|Drama
cdc1e3c8-4867-42c9-a549-78746a7ff9cc,Hidden (a.k.a. Cache) (Caché),Drama|Mystery|Thriller
65436b99-99e9-4be5-b5bf-57545e5563f5,"Devil and Miss Jones, The",Comedy|Romance
c4cf3c74-79ea-4911-8c16-00fd24f56dcf,"Fast & Furious (Fast and the Furious 4, The)",Action|Crime|Drama|Thriller
d714129c-078b-4087-b510-1d5d1134b6cc,Savage Streets,Action|Crime|Drama|Thriller
a8603abc-1fd5-4a3a-9d08-685fd6f2c65a,Four Days in July,Comedy|Drama
a194fecd-3bc2-4f96-a169-0713c85eb77f,Grouse,Comedy
7c59bb1c-83d5-454c-ab38-c5b569ceec78,Over the Brooklyn Bridge,Comedy
8cfc37c6-7563-4ddd-824d-386644721e3b,"Tillman Story, The",Documentary
8f22e9e4-b658-4750-b2a3-90e0d26f32e5,D-War (Dragon Wars),Action|Adventure|Drama|Fantasy
0b110579-0118-442c-80c4-6149e126c385,"Children of Heaven, The (Bacheha-Ye Aseman)",Comedy|Drama
